Latitude,Longitude,district_name,state_name,total_crimes_sum,num_years,risk_level
23.6880057,84.49695511086065,Latehar,jharkhand,1014.0,6,Low Risk
23.693479,85.52159885702125,Ramgarh,jharkhand,1047.0,6,Low Risk
23.69912795,85.99106894165021,Bokaro,jharkhand,3081.0,6,Medium Risk
23.7176393,80.26101812940934,Katni,madhya pradesh,2535.0,6,Medium Risk
23.7433532,92.7382756,Aizawl,mizoram,495.0,15,Low Risk
23.7497214,91.87663495294916,Ganganagar,rajasthan,8304.0,6,High Risk
23.7564387,92.45153737096814,Mamit,mizoram,120.0,6,Low Risk
23.773753,71.67985812598445,Patan,gujarat,975.0,6,Low Risk
23.7952809,86.4309638,Dhanbad,jharkhand,3119.0,12,Medium Risk
23.7981005,79.54193561694873,Damoh,madhya pradesh,2787.0,6,Medium Risk
23.80830755,78.75825398721975,Sagar,madhya pradesh,6653.0,6,High Risk
